artifact,level,decode_rate
blur,0.5,0.9884
blur,1.0,0.9909
blur,2.0,0.9984
blur,3.0,0.9911
blur,4.0,0.8784
blur,5.0,0.0631
color,0.2,0.9873
color,0.5,0.9873
color,1.0,0.9873
color,1.5,0.9873
color,2.0,0.9873
contrast,0.2,0.9873
contrast,0.5,0.9871
contrast,0.8,0.9872
contrast,1.5,0.9873
contrast,2.0,0.9873
exposure,0.3,0.9873
exposure,0.5,0.9875
exposure,0.7,0.9874
exposure,1.3,0.9873
exposure,1.6,0.9873
exposure,2.0,0.9873
haze,0.1,0.9873
haze,0.2,0.9874
haze,0.4,0.9866
haze,0.6,0.9868
haze,0.8,0.9867
motion,3.0,0.9894
motion,5.0,0.995
motion,9.0,0.9515
motion,15.0,0.5651
motion,21.0,0.0006
noise,2.0,0.9872
noise,5.0,0.9872
noise,10.0,0.986
noise,20.0,0.9361
noise,30.0,0.7806
noise,40.0,0.5955
